id;data_registro;data_solicitacao;status;nao_conformidade_id
1;2020-02-27T01:07:21;2020-02-27T09:52:49;REGISTRADO;1
2;2020-02-27T00:47:42;2020-02-26T20:10:40;REGISTRADO;2
3;2020-02-26T21:18:11;2020-02-27T08:29:05;CONCLUIDO;3
4;2020-02-26T19:08:20;2020-02-27T15:48:06;REGISTRADO;4
5;2020-02-27T02:10:10;2020-02-27T09:33:53;CONCLUIDO;5
6;2020-02-26T23:24:54;2020-02-27T08:13:20;PENDENTE;6
7;2020-02-27T06:23:28;2020-02-26T22:53:38;CONCLUIDO;7
8;2020-02-27T05:51:45;2020-02-27T16:14:48;CONCLUIDO;8
9;2020-02-27T08:17:02;2020-02-27T05:27:21;CONCLUIDO;9
10;2020-02-26T17:24:58;2020-02-27T06:31:31;PENDENTE;10
