id;orgao;titulo;descricao;versao;numero_edicao;data_edicao;data_inicio_validade;categoria;url_download
1;IEEE;Practical Plastic Tuna parsing Fantastic;../fake-data/blob/hipster.txt;Integrated;47793;2020-02-18T15:07:30;2020-02-18T20:18:34;AMBIENTAL;hub
2;ABNT_ISO;1080p Illinois Utah;../fake-data/blob/hipster.txt;Rand Surin;34959;2020-02-18T02:30:17;2020-02-18T12:07:37;SEGURANCA;Architect
3;ABNT_ISO;Arizona synergies;../fake-data/blob/hipster.txt;Avon;82469;2020-02-18T03:42:35;2020-02-18T11:52:18;QUALIDADE;Cambridgeshire online
4;ASTM;Liberian Dollar Practical;../fake-data/blob/hipster.txt;generating;10779;2020-02-18T09:56:42;2020-02-18T04:30:44;QUALIDADE;Officer Somoni clicks-and-mortar
5;ASTM;Human Generic Concrete Gloves Poland;../fake-data/blob/hipster.txt;connect;14242;2020-02-18T14:11:53;2020-02-18T08:07:07;QUALIDADE;action-items compelling paradigms
6;ASTM;Ergonomic Frozen Cheese;../fake-data/blob/hipster.txt;Chips prog;78904;2020-02-18T10:48:35;2020-02-18T00:53:01;AMBIENTAL;installation neural
7;IEEE;discrete;../fake-data/blob/hipster.txt;Motorway;48097;2020-02-18T16:43:05;2020-02-17T23:30:33;SEGURANCA;local area network regional
8;ABNT_ISO;calculate neural Massachusetts;../fake-data/blob/hipster.txt;haptic;63080;2020-02-18T20:16:35;2020-02-18T18:26:21;AMBIENTAL;Locks Israel channels
9;IEEE;connecting teal;../fake-data/blob/hipster.txt;infomediar;10553;2020-02-18T16:57:33;2020-02-18T11:20:01;QUALIDADE;Missouri
10;IEEE;Central solid state;../fake-data/blob/hipster.txt;Representa;40988;2020-02-18T14:37:01;2020-02-18T08:24:26;SEGURANCA;Sleek Infrastructure system engine
