id;data_analise;conteudo;responsavel;status
1;2020-02-08T05:20:33;../fake-data/blob/hipster.txt;orchestration Awesome Falkland Islands Pound;REPROVADO
2;2020-02-08T00:41:38;../fake-data/blob/hipster.txt;Borders;APROVADO_PARCIALMENTE
3;2020-02-08T03:14:59;../fake-data/blob/hipster.txt;Handmade Wooden Gloves hard drive;APROVADO_PARCIALMENTE
4;2020-02-08T05:50:58;../fake-data/blob/hipster.txt;protocol;REPROVADO
5;2020-02-08T07:51:11;../fake-data/blob/hipster.txt;Senior Games;APROVADO
6;2020-02-08T00:19:51;../fake-data/blob/hipster.txt;eyeballs Visionary Incredible Steel Hat;APROVADO
7;2020-02-07T19:37:52;../fake-data/blob/hipster.txt;Berkshire connecting;REPROVADO
8;2020-02-08T05:39:06;../fake-data/blob/hipster.txt;Fiji Bedfordshire bluetooth;REPROVADO
9;2020-02-07T20:15:24;../fake-data/blob/hipster.txt;Metal multi-state function;REPROVADO
10;2020-02-08T03:34:14;../fake-data/blob/hipster.txt;Awesome Concrete Computer foreground National;APROVADO_PARCIALMENTE
