id;id_usuario_registro;titulo;descricao;modalidade;data_registro;data_inicio;data_fim;auditor
1;27910;Cyprus Baby JBOD;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T07:25:34;2020-02-08T08:26:10;2020-02-07T21:28:35;support Pines alarm
2;41898;Borders Auto Loan Account GB;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T10:44:35;2020-02-08T04:57:01;2020-02-07T21:56:30;turquoise
3;3313;Car;../fake-data/blob/hipster.txt;EXTERNA;2020-02-07T17:32:00;2020-02-08T09:45:15;2020-02-07T18:44:19;Gorgeous Metal Shirt responsive
4;52718;Practical Metal Sausages;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T08:21:02;2020-02-07T23:55:54;2020-02-08T08:19:34;turquoise
5;81410;Maine Azerbaijan National;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T04:49:37;2020-02-08T07:25:50;2020-02-08T08:01:39;generating copy reciprocal
6;61466;Planner Kansas;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T01:27:02;2020-02-08T10:58:01;2020-02-08T10:45:13;deposit Assistant
7;81819;red Fundamental Center;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T10:00:57;2020-02-08T06:29:55;2020-02-08T00:04:38;rich Ports Borders
8;41639;Ethiopia quantify;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T02:04:47;2020-02-08T05:13:04;2020-02-08T14:02:26;dot-com compress
9;4666;deposit;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T10:25:41;2020-02-08T10:01:59;2020-02-08T04:26:52;white
10;29136;reintermediate;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T11:33:39;2020-02-08T09:55:14;2020-02-07T16:15:36;Manager
