id;id_usuario_registro;titulo;descricao;data_registro;data_publicacao;status;publico_alvo_id
1;10640;Chicken;../fake-data/blob/hipster.txt;2020-02-08T15:27:13;2020-02-08T14:10:17;PUBLICADO;1
2;65027;Jewelery User-friendly Implemented;../fake-data/blob/hipster.txt;2020-02-08T03:41:11;2020-02-08T13:02:01;RASCUNHO;2
3;22625;task-force;../fake-data/blob/hipster.txt;2020-02-08T02:46:17;2020-02-08T15:01:40;PUBLICADO;3
4;36682;payment seamless;../fake-data/blob/hipster.txt;2020-02-08T10:26:01;2020-02-08T06:54:12;PUBLICADO;4
5;58249;Iraq Avon;../fake-data/blob/hipster.txt;2020-02-08T02:45:25;2020-02-07T20:00:55;PUBLICADO;5
6;42519;Savings Account firewall;../fake-data/blob/hipster.txt;2020-02-08T03:10:12;2020-02-08T15:20:13;PUBLICADO;6
7;81025;Village Soft;../fake-data/blob/hipster.txt;2020-02-07T22:19:58;2020-02-07T21:33:39;RASCUNHO;7
8;4951;synergies bus Forward;../fake-data/blob/hipster.txt;2020-02-08T09:32:54;2020-02-08T03:45:19;RASCUNHO;8
9;11492;Table;../fake-data/blob/hipster.txt;2020-02-08T06:03:35;2020-02-08T10:03:52;PUBLICADO;9
10;47565;Pitcairn Islands end-to-end Mobility;../fake-data/blob/hipster.txt;2020-02-08T07:21:56;2020-02-08T15:53:37;PUBLICADO;10
