id;titulo;descricao;habilitado
1;Ecuador multimedia strategic;../fake-data/blob/hipster.txt;false
2;Tennessee Buckinghamshire synthesizing;../fake-data/blob/hipster.txt;true
3;didactic back-end Auto Loan Account;../fake-data/blob/hipster.txt;false
4;Handcrafted Codes specifically reserved for testing purposes;../fake-data/blob/hipster.txt;false
5;panel payment;../fake-data/blob/hipster.txt;false
6;Berkshire connect out-of-the-box;../fake-data/blob/hipster.txt;false
7;human-resource open architecture;../fake-data/blob/hipster.txt;true
8;Electronics;../fake-data/blob/hipster.txt;false
9;Ridges capacity Representative;../fake-data/blob/hipster.txt;true
10;bypass;../fake-data/blob/hipster.txt;false
