id;nome;url_integracao;token_acesso
1;neural;e-commerce;Corporate
2;Personal Loan Account payment;Concrete;Soft Fiji Steel
3;Licensed Orchestrator;Cambridgeshire IB;Wall
4;SDD;Arizona Frozen connect;24/7
5;methodical;Avon Roads;Sleek Soft Pizza
6;fuchsia;Borders United States Minor Outlying Islands Coordinator;Loop back-end
7;Gorgeous Wooden Keyboard;Checking Account Integration;Customer open architecture bus
8;monetize Handmade Granite Gloves;copy;Implementation Soft
9;Arkansas;program Guyana Dollar AGP;Home Officer Communications
10;Team-oriented Versatile deposit;Jewelery microchip;Fish
