id;titulo;descricao;habilitado
1;Centralized;../fake-data/blob/hipster.txt;false
2;Small Steel Sausages Metal New Zealand Dollar;../fake-data/blob/hipster.txt;false
3;Salad;../fake-data/blob/hipster.txt;false
4;hierarchy;../fake-data/blob/hipster.txt;true
5;Chilean Peso Unidades de fomento Auto Loan Account action-items;../fake-data/blob/hipster.txt;true
6;Cyprus Grocery Unbranded Granite Pizza;../fake-data/blob/hipster.txt;false
7;impactful;../fake-data/blob/hipster.txt;true
8;Chair wireless;../fake-data/blob/hipster.txt;true
9;Divide Incredible New Jersey;../fake-data/blob/hipster.txt;false
10;Steel Hong Kong Dollar compressing;../fake-data/blob/hipster.txt;true
