id;titulo;descricao;modalidade;data_inicio_previsto;data_fim_previsto;plano_id
1;Checking Account Savings Account;../fake-data/blob/hipster.txt;INTERNA;2020-02-07T17:04:07;2020-02-07T21:11:42;1
2;Djibouti Concrete;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T03:14:52;2020-02-08T14:10:14;2
3;Wyoming vertical Money Market Account;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T14:53:49;2020-02-07T23:41:43;3
4;Awesome Steel Computer;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T02:21:03;2020-02-08T12:18:31;4
5;schemas;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T13:03:47;2020-02-08T15:52:55;5
6;generate;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T00:44:55;2020-02-07T16:38:36;6
7;Chicken;../fake-data/blob/hipster.txt;EXTERNA;2020-02-08T02:11:10;2020-02-07T16:35:06;7
8;Kids South Georgia and the South Sandwich Islands Soft;../fake-data/blob/hipster.txt;INTERNA;2020-02-08T05:47:35;2020-02-08T08:41:08;8
9;world-class green circuit;../fake-data/blob/hipster.txt;EXTERNA;2020-02-07T17:20:07;2020-02-07T23:39:31;9
10;Naira;../fake-data/blob/hipster.txt;EXTERNA;2020-02-07T20:38:44;2020-02-08T06:17:51;10
