id;id_usuario_registro;id_usuario_responsavel;titulo;descricao;procedente;causa;prazo_conclusao;novo_prazo_conclusao;data_registro;data_conclusao;analise_final;status_sgq
1;35164;733;mobile holistic;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-02-08T07:39:12;2020-02-08T15:22:13;2020-02-08T11:59:17;2020-02-08T08:18:07;../fake-data/blob/hipster.txt;CONCLUIDO
2;83498;7067;Small;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-02-08T13:54:35;2020-02-07T19:32:51;2020-02-07T19:09:28;2020-02-08T06:17:38;../fake-data/blob/hipster.txt;CONCLUIDO
3;44622;10771;methodology;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-02-07T20:26:32;2020-02-08T09:49:10;2020-02-07T22:49:52;2020-02-08T10:03:36;../fake-data/blob/hipster.txt;REGISTRADO
4;13182;12115;Branding;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-02-07T18:57:12;2020-02-07T16:07:28;2020-02-07T22:58:46;2020-02-08T05:00:55;../fake-data/blob/hipster.txt;PENDENTE
5;96010;18713;optical Handmade Saudi Arabia;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-02-08T14:13:01;2020-02-08T04:58:25;2020-02-08T01:37:25;2020-02-07T21:25:49;../fake-data/blob/hipster.txt;REGISTRADO
6;45472;71792;index Generic Steel Tuna implement;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-02-08T13:34:22;2020-02-07T19:33:12;2020-02-07T23:04:13;2020-02-08T04:01:00;../fake-data/blob/hipster.txt;PENDENTE
7;1294;13679;Kenya Avenue;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-02-08T07:59:07;2020-02-08T15:24:36;2020-02-08T00:57:40;2020-02-07T22:08:38;../fake-data/blob/hipster.txt;REGISTRADO
8;287;49233;Health;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-02-08T02:47:31;2020-02-08T06:03:59;2020-02-08T07:41:54;2020-02-07T17:09:38;../fake-data/blob/hipster.txt;SUSPENSO
9;87906;23509;Locks synthesize 3rd generation;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-02-08T05:25:26;2020-02-07T23:33:42;2020-02-07T22:08:09;2020-02-08T05:20:25;../fake-data/blob/hipster.txt;CONCLUIDO
10;38529;68906;Steel;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-02-07T21:26:48;2020-02-07T19:37:34;2020-02-08T11:26:28;2020-02-07T21:15:29;../fake-data/blob/hipster.txt;CANCELADO
