id;orgao;titulo;descricao;versao;numero_edicao;data_edicao;data_inicio_validade;categoria;url_download
1;Cotton;Azerbaijanian Manat Hollow;../fake-data/blob/hipster.txt;parsing Fantastic;23333;2020-02-08T10:15:00;2020-02-08T06:40:12;leading-edge Factors;bluetooth scalable Estonia
2;Port;system;../fake-data/blob/hipster.txt;Refined;79022;2020-02-07T22:06:43;2020-02-08T02:30:09;Utah;Rand Surinam Dollar
3;RSS Orchestrator;adapter relationships Paradigm;../fake-data/blob/hipster.txt;Crescent Handcrafted violet;59060;2020-02-08T15:04:19;2020-02-08T06:14:53;hybrid;synthesizing
4;backing up Investor;PCI;../fake-data/blob/hipster.txt;parsing;61581;2020-02-08T09:03:52;2020-02-08T00:49:34;Data Path;blue Virginia
5;Liberian Dollar Practical;generating;../fake-data/blob/hipster.txt;San Marino;89424;2020-02-07T20:51:48;2020-02-08T08:46:33;Cliffs driver;Officer Somoni clicks-and-mortar
6;bypassing;Human HTTP Savings Account;../fake-data/blob/hipster.txt;Poland;14320;2020-02-07T21:57:16;2020-02-08T05:13:22;benchmark;wireless SMTP
7;Division;compelling paradigms;../fake-data/blob/hipster.txt;COM transmit PNG;81262;2020-02-08T13:41:36;2020-02-08T15:03:47;Accounts;Chips programming Frozen
8;Cambridgeshire Checking Account Hong Kong;Missouri installation;../fake-data/blob/hipster.txt;overriding driver monetize;28527;2020-02-08T08:58:45;2020-02-08T10:44:10;Berkshire zero defect;withdrawal Niue
9;Kansas Iowa solid state;Tasty Soft Hat analyzer USB;../fake-data/blob/hipster.txt;neural Massachusetts;26434;2020-02-07T21:19:09;2020-02-08T03:54:07;Concrete XML;Handmade Steel Tuna Dynamic
10;Central Motorway;channels Ways;../fake-data/blob/hipster.txt;convergence;44404;2020-02-08T06:38:46;2020-02-07T20:29:53;teal Comoro Franc;Avon SQL Gorgeous
