id;titulo;descricao;habilitado;setor_id
1;task-force SMS generating;../fake-data/blob/hipster.txt;false;1
2;scalable Serbia Fresh;../fake-data/blob/hipster.txt;false;2
3;Future;../fake-data/blob/hipster.txt;true;3
4;redundant;../fake-data/blob/hipster.txt;true;4
5;seamless;../fake-data/blob/hipster.txt;true;5
6;Investment Account;../fake-data/blob/hipster.txt;true;6
7;programming Salad;../fake-data/blob/hipster.txt;false;7
8;Program Organic definition;../fake-data/blob/hipster.txt;false;8
9;calculating Practical Executive;../fake-data/blob/hipster.txt;true;9
10;Rial Omani pixel;../fake-data/blob/hipster.txt;true;10
