id;nome;descricao;habilitado;empresa_id
1;Specialist;../fake-data/blob/hipster.txt;true;1
2;Virginia Visionary Factors;../fake-data/blob/hipster.txt;true;2
3;Savings Account Antarctica (the territory South of 60 deg S) Soft;../fake-data/blob/hipster.txt;false;3
4;SSL;../fake-data/blob/hipster.txt;true;4
5;program Fresh time-frame;../fake-data/blob/hipster.txt;true;5
6;Home Loan Account 1080p;../fake-data/blob/hipster.txt;false;6
7;Fantastic withdrawal;../fake-data/blob/hipster.txt;true;7
8;1080p Technician syndicate;../fake-data/blob/hipster.txt;true;8
9;Borders;../fake-data/blob/hipster.txt;true;9
10;Refined Granite Chair;../fake-data/blob/hipster.txt;true;10
