id;id_usuario_registro;titulo;autor;uri;link;conteudo;data_registro;data_publicacao;status;feed_id
1;88100;next-generation copy Towels;Table Credit Card Account Books;Terrace Mozambique envisioneer;Sweden deposit;../fake-data/blob/hipster.txt;2020-02-08T01:22:19;2020-02-08T09:59:38;PUBLICADO;1
2;95483;Unbranded Rubber Tuna B2C;Associate;GB;Aruban Guilder flexibility;../fake-data/blob/hipster.txt;2020-02-08T04:47:56;2020-02-08T14:17:57;RASCUNHO;2
3;22290;Cambridgeshire Rustic;Money Market Account;transmitting Intelligent;deposit Congo;../fake-data/blob/hipster.txt;2020-02-07T21:52:05;2020-02-07T16:45:57;PUBLICADO;3
4;21826;navigating virtual;strategize withdrawal;Suriname panel;Orchestrator Plastic;../fake-data/blob/hipster.txt;2020-02-08T13:22:58;2020-02-08T13:42:30;RASCUNHO;4
5;1103;back-end transmitter Refined Concrete Chips;productivity Refined Rubber Pants Practical;Florida;Handcrafted Wooden Keyboard ubiquitous;../fake-data/blob/hipster.txt;2020-02-08T09:33:12;2020-02-07T16:20:43;PUBLICADO;5
6;42825;Rustic Wooden Bacon overriding;violet;payment;Credit Card Account maximized USB;../fake-data/blob/hipster.txt;2020-02-08T03:58:37;2020-02-07T20:38:43;PUBLICADO;6
7;56917;Bedfordshire overriding;Texas cultivate Gorgeous;functionalities;Djibouti Franc microchip;../fake-data/blob/hipster.txt;2020-02-08T05:45:35;2020-02-08T01:03:30;RASCUNHO;7
8;83636;bypass reintermediate;next-generation Metal Representative;complexity groupware;Usability bluetooth;../fake-data/blob/hipster.txt;2020-02-07T19:08:37;2020-02-08T13:52:30;RASCUNHO;8
9;13484;JBOD Awesome;niches Plastic plum;Table Manager Computers;Ergonomic deposit;../fake-data/blob/hipster.txt;2020-02-07T16:30:44;2020-02-08T00:33:47;RASCUNHO;9
10;76903;Svalbard & Jan Mayen Islands withdrawal Administrator;Sports Guadeloupe Peso Uruguayo Uruguay Peso en Unidades Indexadas;Extension;AGP transmitter;../fake-data/blob/hipster.txt;2020-02-07T21:26:01;2020-02-08T03:59:30;PUBLICADO;10
