id;id_usuario_responsavel;data_inicio;data_fim;descricao
1;43835;2020-02-11T11:13:18;2020-02-11T00:58:01;../fake-data/blob/hipster.txt
2;45481;2020-02-10T20:40:04;2020-02-11T10:33:40;../fake-data/blob/hipster.txt
3;86454;2020-02-10T23:47:27;2020-02-10T19:16:23;../fake-data/blob/hipster.txt
4;56118;2020-02-11T05:23:04;2020-02-11T05:15:23;../fake-data/blob/hipster.txt
5;71362;2020-02-11T12:47:23;2020-02-11T08:47:57;../fake-data/blob/hipster.txt
6;4421;2020-02-11T04:50:00;2020-02-11T00:46:59;../fake-data/blob/hipster.txt
7;45427;2020-02-11T09:31:21;2020-02-11T09:59:10;../fake-data/blob/hipster.txt
8;25894;2020-02-11T00:02:46;2020-02-11T03:13:14;../fake-data/blob/hipster.txt
9;51774;2020-02-11T11:16:16;2020-02-11T05:01:24;../fake-data/blob/hipster.txt
10;53941;2020-02-11T18:46:25;2020-02-11T17:24:34;../fake-data/blob/hipster.txt
