id;id_usuario_registro;data_registro;data_verificacao;checklist_id
1;14989;2020-02-07T22:18:36;2020-02-08T03:41:00;1
2;94470;2020-02-08T11:59:10;2020-02-07T21:16:42;2
3;99417;2020-02-07T19:58:49;2020-02-08T12:40:27;3
4;12038;2020-02-08T06:22:37;2020-02-08T15:13:31;4
5;89660;2020-02-07T18:29:44;2020-02-07T21:50:51;5
6;86235;2020-02-07T21:06:03;2020-02-07T19:54:09;6
7;80609;2020-02-08T00:26:18;2020-02-08T01:06:36;7
8;31273;2020-02-08T12:32:02;2020-02-07T18:27:52;8
9;73245;2020-02-08T00:15:41;2020-02-07T17:44:33;9
10;22684;2020-02-08T03:49:17;2020-02-08T03:29:51;10
