id;id_usuario_registro;data_registro;data_solicitacao;id_acompanhamento;status;nao_conformidade_id;consultoria_id
1;65634;2020-02-27T09:53:02;2020-02-27T16:18:04;94853;REGISTRADO;1;1
2;81549;2020-02-27T08:29:18;2020-02-26T20:00:03;68875;REGISTRADO;2;2
3;19219;2020-02-26T23:54:53;2020-02-27T06:18:07;27555;CONCLUIDO;3;3
4;72748;2020-02-27T08:13:33;2020-02-27T01:25:31;75806;CONCLUIDO;4;4
5;32286;2020-02-26T19:30:45;2020-02-27T04:48:24;81339;REGISTRADO;5;5
6;40437;2020-02-27T08:49:18;2020-02-27T06:14:00;83349;REGISTRADO;6;6
7;32067;2020-02-27T03:57:16;2020-02-26T18:21:45;81363;PENDENTE;7;7
8;84387;2020-02-27T02:59:28;2020-02-27T11:17:09;59661;PENDENTE;8;8
9;90552;2020-02-27T15:09:58;2020-02-27T14:03:20;71781;PENDENTE;9;9
10;35151;2020-02-27T07:08:52;2020-02-27T05:52:56;84615;PENDENTE;10;10
