id;data_analise;descricao;responsavel;status
1;2020-02-27T06:08:55;../fake-data/blob/hipster.txt;orchestration Awesome Falkland Islands Pound;REPROVADO
2;2020-02-27T01:30:00;../fake-data/blob/hipster.txt;Borders;APROVADO_PARCIALMENTE
3;2020-02-27T04:03:21;../fake-data/blob/hipster.txt;Handmade Wooden Gloves hard drive;APROVADO_PARCIALMENTE
4;2020-02-27T06:39:20;../fake-data/blob/hipster.txt;protocol;REPROVADO
5;2020-02-27T08:39:33;../fake-data/blob/hipster.txt;Senior Games;APROVADO
6;2020-02-27T01:08:13;../fake-data/blob/hipster.txt;eyeballs Visionary Incredible Steel Hat;APROVADO
7;2020-02-26T20:26:14;../fake-data/blob/hipster.txt;Berkshire connecting;REPROVADO
8;2020-02-27T06:27:28;../fake-data/blob/hipster.txt;Fiji Bedfordshire bluetooth;REPROVADO
9;2020-02-26T21:03:46;../fake-data/blob/hipster.txt;Metal multi-state function;REPROVADO
10;2020-02-27T04:22:36;../fake-data/blob/hipster.txt;Awesome Concrete Computer foreground National;APROVADO_PARCIALMENTE
