id;orgao;titulo;descricao;versao;numero_edicao;data_edicao;data_inicio_validade;categoria;url_download
1;Cotton;Azerbaijanian Manat Hollow;../fake-data/blob/hipster.txt;parsing Fantastic;23333;2020-03-09T04:05:53;2020-03-09T00:31:05;leading-edge Factors;bluetooth scalable Estonia
2;Port;system;../fake-data/blob/hipster.txt;Refined;79022;2020-03-08T15:57:36;2020-03-08T20:21:02;Utah;Rand Surinam Dollar
3;RSS Orchestrator;adapter relationships Paradigm;../fake-data/blob/hipster.txt;Crescent Handcrafted violet;59060;2020-03-09T08:55:12;2020-03-09T00:05:46;hybrid;synthesizing
4;backing up Investor;PCI;../fake-data/blob/hipster.txt;parsing;61581;2020-03-09T02:54:45;2020-03-08T18:40:27;Data Path;blue Virginia
5;Liberian Dollar Practical;generating;../fake-data/blob/hipster.txt;San Marino;89424;2020-03-08T14:42:41;2020-03-09T02:37:26;Cliffs driver;Officer Somoni clicks-and-mortar
6;bypassing;Human HTTP Savings Account;../fake-data/blob/hipster.txt;Poland;14320;2020-03-08T15:48:09;2020-03-08T23:04:15;benchmark;wireless SMTP
7;Division;compelling paradigms;../fake-data/blob/hipster.txt;COM transmit PNG;81262;2020-03-09T07:32:29;2020-03-09T08:54:40;Accounts;Chips programming Frozen
8;Cambridgeshire Checking Account Hong Kong;Missouri installation;../fake-data/blob/hipster.txt;overriding driver monetize;28527;2020-03-09T02:49:38;2020-03-09T04:35:03;Berkshire zero defect;withdrawal Niue
9;Kansas Iowa solid state;Tasty Soft Hat analyzer USB;../fake-data/blob/hipster.txt;neural Massachusetts;26434;2020-03-08T15:10:02;2020-03-08T21:45:00;Concrete XML;Handmade Steel Tuna Dynamic
10;Central Motorway;channels Ways;../fake-data/blob/hipster.txt;convergence;44404;2020-03-09T00:29:39;2020-03-08T14:20:46;teal Comoro Franc;Avon SQL Gorgeous
