id;data_analise;conteudo;responsavel;status
1;2020-03-08T23:11:23;../fake-data/blob/hipster.txt;orchestration Awesome Falkland Islands Pound;REPROVADO
2;2020-03-08T18:32:28;../fake-data/blob/hipster.txt;Borders;APROVADO_PARCIALMENTE
3;2020-03-08T21:05:49;../fake-data/blob/hipster.txt;Handmade Wooden Gloves hard drive;APROVADO_PARCIALMENTE
4;2020-03-08T23:41:48;../fake-data/blob/hipster.txt;protocol;REPROVADO
5;2020-03-09T01:42:01;../fake-data/blob/hipster.txt;Senior Games;APROVADO
6;2020-03-08T18:10:41;../fake-data/blob/hipster.txt;eyeballs Visionary Incredible Steel Hat;APROVADO
7;2020-03-08T13:28:42;../fake-data/blob/hipster.txt;Berkshire connecting;REPROVADO
8;2020-03-08T23:29:56;../fake-data/blob/hipster.txt;Fiji Bedfordshire bluetooth;REPROVADO
9;2020-03-08T14:06:14;../fake-data/blob/hipster.txt;Metal multi-state function;REPROVADO
10;2020-03-08T21:25:04;../fake-data/blob/hipster.txt;Awesome Concrete Computer foreground National;APROVADO_PARCIALMENTE
