id;titulo;descricao;modalidade;data_inicio;data_fim;plano_id
1;Checking Account Savings Account;../fake-data/blob/hipster.txt;INTERNA;2020-03-08T10:54:58;2020-03-08T15:02:33;1
2;Djibouti Concrete;../fake-data/blob/hipster.txt;EXTERNA;2020-03-08T21:05:43;2020-03-09T08:01:05;2
3;Wyoming vertical Money Market Account;../fake-data/blob/hipster.txt;INTERNA;2020-03-09T08:44:40;2020-03-08T17:32:34;3
4;Awesome Steel Computer;../fake-data/blob/hipster.txt;EXTERNA;2020-03-08T20:11:54;2020-03-09T06:09:22;4
5;schemas;../fake-data/blob/hipster.txt;EXTERNA;2020-03-09T06:54:38;2020-03-09T09:43:46;5
6;generate;../fake-data/blob/hipster.txt;INTERNA;2020-03-08T18:35:46;2020-03-08T10:29:27;6
7;Chicken;../fake-data/blob/hipster.txt;EXTERNA;2020-03-08T20:02:01;2020-03-08T10:25:57;7
8;Kids South Georgia and the South Sandwich Islands Soft;../fake-data/blob/hipster.txt;INTERNA;2020-03-08T23:38:26;2020-03-09T02:31:59;8
9;world-class green circuit;../fake-data/blob/hipster.txt;EXTERNA;2020-03-08T11:10:58;2020-03-08T17:30:22;9
10;Naira;../fake-data/blob/hipster.txt;EXTERNA;2020-03-08T14:29:35;2020-03-09T00:08:42;10
