id;id_usuario_registro;id_usuario_responsavel;titulo;descricao;procedente;causa;prazo_conclusao;novo_prazo_conclusao;data_registro;data_conclusao;analise_final;status_sgq
1;35164;733;mobile holistic;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-03-09T01:30:03;2020-03-09T09:13:04;2020-03-09T05:50:08;2020-03-09T02:08:58;../fake-data/blob/hipster.txt;CONCLUIDO
2;83498;7067;Small;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-03-09T07:45:26;2020-03-08T13:23:42;2020-03-08T13:00:19;2020-03-09T00:08:29;../fake-data/blob/hipster.txt;CONCLUIDO
3;44622;10771;methodology;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-03-08T14:17:23;2020-03-09T03:40:01;2020-03-08T16:40:43;2020-03-09T03:54:27;../fake-data/blob/hipster.txt;REGISTRADO
4;13182;12115;Branding;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-03-08T12:48:03;2020-03-08T09:58:19;2020-03-08T16:49:37;2020-03-08T22:51:46;../fake-data/blob/hipster.txt;PENDENTE
5;96010;18713;optical Handmade Saudi Arabia;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-03-09T08:03:52;2020-03-08T22:49:16;2020-03-08T19:28:16;2020-03-08T15:16:40;../fake-data/blob/hipster.txt;REGISTRADO
6;45472;71792;index Generic Steel Tuna implement;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-03-09T07:25:13;2020-03-08T13:24:03;2020-03-08T16:55:04;2020-03-08T21:51:51;../fake-data/blob/hipster.txt;PENDENTE
7;1294;13679;Kenya Avenue;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-03-09T01:49:58;2020-03-09T09:15:27;2020-03-08T18:48:31;2020-03-08T15:59:29;../fake-data/blob/hipster.txt;REGISTRADO
8;287;49233;Health;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;2020-03-08T20:38:22;2020-03-08T23:54:50;2020-03-09T01:32:45;2020-03-08T11:00:29;../fake-data/blob/hipster.txt;SUSPENSO
9;87906;23509;Locks synthesize 3rd generation;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-03-08T23:16:17;2020-03-08T17:24:33;2020-03-08T15:59:00;2020-03-08T23:11:16;../fake-data/blob/hipster.txt;CONCLUIDO
10;38529;68906;Steel;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;2020-03-08T15:17:39;2020-03-08T13:28:25;2020-03-09T05:17:19;2020-03-08T15:06:20;../fake-data/blob/hipster.txt;CANCELADO
