id;id_usuario_registro;id_usuario_responsavel;titulo;descricao;procedente;data_registro;analise_final;status_sgq;produto_id
1;9286;13611;tan;../fake-data/blob/hipster.txt;false;2020-03-08T23:07:38;../fake-data/blob/hipster.txt;CANCELADO;1
2;16397;35484;Buckinghamshire grid-enabled;../fake-data/blob/hipster.txt;false;2020-03-08T22:28:47;../fake-data/blob/hipster.txt;REGISTRADO;2
3;37133;55862;Kip;../fake-data/blob/hipster.txt;true;2020-03-09T01:18:42;../fake-data/blob/hipster.txt;PENDENTE;3
4;94231;28928;eyeballs Tactics;../fake-data/blob/hipster.txt;true;2020-03-09T01:59:56;../fake-data/blob/hipster.txt;CONCLUIDO;4
5;14009;40035;Horizontal Ohio;../fake-data/blob/hipster.txt;false;2020-03-08T17:38:55;../fake-data/blob/hipster.txt;REGISTRADO;5
6;89216;32063;Creative Intelligent Metal Chicken;../fake-data/blob/hipster.txt;true;2020-03-09T05:51:24;../fake-data/blob/hipster.txt;SUSPENSO;6
7;53435;75161;Montana Borders hard drive;../fake-data/blob/hipster.txt;false;2020-03-08T23:11:27;../fake-data/blob/hipster.txt;CANCELADO;7
8;45147;89519;Borders Object-based Mount;../fake-data/blob/hipster.txt;true;2020-03-09T07:38:15;../fake-data/blob/hipster.txt;PENDENTE;8
9;96241;22540;virtual Investment Account;../fake-data/blob/hipster.txt;true;2020-03-08T22:57:19;../fake-data/blob/hipster.txt;CANCELADO;9
10;99350;77177;Salad microchip feed;../fake-data/blob/hipster.txt;false;2020-03-09T00:28:48;../fake-data/blob/hipster.txt;PENDENTE;10
