id;nome;descricao;habilitado
1;full-range navigating;../fake-data/blob/hipster.txt;true
2;Total directional;../fake-data/blob/hipster.txt;false
3;Latvia Home;../fake-data/blob/hipster.txt;true
4;online;../fake-data/blob/hipster.txt;true
5;digital Infrastructure Compatible;../fake-data/blob/hipster.txt;false
6;California Assimilated;../fake-data/blob/hipster.txt;false
7;payment Denar;../fake-data/blob/hipster.txt;false
8;Customer-focused AGP Fantastic Frozen Shoes;../fake-data/blob/hipster.txt;true
9;archive;../fake-data/blob/hipster.txt;false
10;Practical;../fake-data/blob/hipster.txt;false
