id;id_usuario_registro;data_registro;data_verificacao;checklist_id
1;14989;2020-03-08T16:09:29;2020-03-08T21:31:53;1
2;94470;2020-03-09T05:50:03;2020-03-08T15:07:35;2
3;99417;2020-03-08T13:49:42;2020-03-09T06:31:20;3
4;12038;2020-03-09T00:13:30;2020-03-09T09:04:24;4
5;89660;2020-03-08T12:20:37;2020-03-08T15:41:44;5
6;86235;2020-03-08T14:56:56;2020-03-08T13:45:02;6
7;80609;2020-03-08T18:17:11;2020-03-08T18:57:29;7
8;31273;2020-03-09T06:22:55;2020-03-08T12:18:45;8
9;73245;2020-03-08T18:06:34;2020-03-08T11:35:26;9
10;22684;2020-03-08T21:40:10;2020-03-08T21:20:44;10
