id;id_usuario_registro;data_registro;data_solicitacao;id_acompanhamento;status;nao_conformidade_id;consultoria_id
1;65634;2020-03-09T02:55:17;2020-03-09T09:20:19;94853;REGISTRADO;1;1
2;81549;2020-03-09T01:31:33;2020-03-08T13:02:18;68875;REGISTRADO;2;2
3;19219;2020-03-08T16:57:08;2020-03-08T23:20:22;27555;CONCLUIDO;3;3
4;72748;2020-03-09T01:15:48;2020-03-08T18:27:46;75806;CONCLUIDO;4;4
5;32286;2020-03-08T12:33:00;2020-03-08T21:50:39;81339;REGISTRADO;5;5
6;40437;2020-03-09T01:51:33;2020-03-08T23:16:15;83349;REGISTRADO;6;6
7;32067;2020-03-08T20:59:31;2020-03-08T11:24:00;81363;PENDENTE;7;7
8;84387;2020-03-08T20:01:43;2020-03-09T04:19:24;59661;PENDENTE;8;8
9;90552;2020-03-09T08:12:13;2020-03-09T07:05:35;71781;PENDENTE;9;9
10;35151;2020-03-09T00:11:07;2020-03-08T22:55:11;84615;PENDENTE;10;10
